track_name       | -                | 0            | 0.0000      
control_change   | -                | 0            | 0.0000      
program_change   | -                | 0            | 0.0000      
control_change   | -                | 0            | 0.0000      
control_change   | -                | 0            | 0.0000      
control_change   | -                | 0            | 0.0000      
key_signature    | -                | 0            | 0.0000      
note_on          | (61)             | 6136         | 7.9896      
note_on          | (57)             | 0            | 7.9896      
note_on          | (52)             | 8            | 8.0000      
note_off         | (61)             | 232          | 8.3021      
note_off         | (52)             | 8            | 8.3125      
note_off         | (57)             | 8            | 8.3229      
note_on          | (52)             | 32           | 8.3646      
note_on          | (61)             | 0            | 8.3646      
note_on          | (57)             | 0            | 8.3646      
note_off         | (52)             | 56           | 8.4375      
note_off         | (61)             | 8            | 8.4479      
note_off         | (57)             | 0            | 8.4479      
note_on          | (61)             | 128          | 8.6146      
note_on          | (52)             | 0            | 8.6146      
note_on          | (57)             | 0            | 8.6146      
note_off         | (61)             | 48           | 8.6771      
note_off         | (52)             | 0            | 8.6771      
note_off         | (57)             | 0            | 8.6771      
note_on          | (52)             | 140          | 8.8594      
note_on          | (61)             | 0            | 8.8594      
note_on          | (57)             | 0            | 8.8594      
note_off         | (52)             | 28           | 8.8958      
note_off         | (61)             | 4            | 8.9010      
note_off         | (57)             | 8            | 8.9115      
note_on          | (52)             | 60           | 8.9896      
note_on          | (57)             | 0            | 8.9896      
note_on          | (61)             | 0            | 8.9896      
note_off         | (52)             | 56           | 9.0625      
note_off         | (57)             | 28           | 9.0990      
note_off         | (61)             | 4            | 9.1042      
note_on          | (56)             | 96           | 9.2292      
note_on          | (51)             | 4            | 9.2344      
note_on          | (59)             | 0            | 9.2344      
note_off         | (51)             | 52           | 9.3021      
note_off         | (56)             | 8            | 9.3125      
note_off         | (59)             | 8            | 9.3229      
note_on          | (56)             | 120          | 9.4792      
note_on          | (64)             | 16           | 9.5000      
note_on          | (61)             | 0            | 9.5000      
note_off         | (64)             | 1864         | 11.9271     
note_off         | (61)             | 8            | 11.9375     
note_off         | (56)             | 4            | 11.9427     
note_on          | (52)             | 28           | 11.9792     
note_on          | (61)             | 0            | 11.9792     
note_on          | (57)             | 0            | 11.9792     
note_off         | (52)             | 248          | 12.3021     
note_off         | (61)             | 0            | 12.3021     
note_off         | (57)             | 12           | 12.3177     
note_on          | (61)             | 32           | 12.3594     
note_on          | (52)             | 4            | 12.3646     
note_on          | (57)             | 0            | 12.3646     
note_off         | (52)             | 56           | 12.4375     
note_off         | (61)             | 8            | 12.4479     
note_off         | (57)             | 0            | 12.4479     
note_on          | (52)             | 120          | 12.6042     
note_on          | (61)             | 0            | 12.6042     
note_on          | (57)             | 0            | 12.6042     
note_off         | (52)             | 56           | 12.6771     
note_off         | (61)             | 4            | 12.6823     
note_off         | (57)             | 0            | 12.6823     
note_on          | (57)             | 136          | 12.8594     
note_on          | (52)             | 4            | 12.8646     
note_on          | (61)             | 0            | 12.8646     
note_off         | (52)             | 24           | 12.8958     
note_off         | (61)             | 0            | 12.8958     
note_off         | (57)             | 8            | 12.9062     
note_on          | (52)             | 60           | 12.9844     
note_on          | (57)             | 4            | 12.9896     
note_on          | (61)             | 8            | 13.0000     
note_off         | (52)             | 48           | 13.0625     
note_off         | (57)             | 32           | 13.1042     
note_off         | (61)             | 4            | 13.1094     
note_on          | (51)             | 92           | 13.2292     
note_on          | (56)             | 4            | 13.2344     
note_on          | (59)             | 0            | 13.2344     
note_off         | (51)             | 52           | 13.3021     
note_off         | (56)             | 4            | 13.3073     
note_off         | (59)             | 8            | 13.3177     
note_on          | (64)             | 132          | 13.4896     
note_on          | (56)             | 0            | 13.4896     
note_on          | (61)             | 0            | 13.4896     
note_off         | (64)             | 1872         | 15.9271     
note_off         | (56)             | 4            | 15.9323     
note_off         | (61)             | 0            | 15.9323     
note_on          | (52)             | 36           | 15.9792     
note_on          | (61)             | 8            | 15.9896     
note_on          | (57)             | 8            | 16.0000     
note_off         | (61)             | 224          | 16.2917     
note_off         | (52)             | 8            | 16.3021     
note_off         | (57)             | 12           | 16.3177     
note_on          | (61)             | 32           | 16.3594     
note_on          | (52)             | 4            | 16.3646     
note_on          | (57)             | 0            | 16.3646     
note_off         | (52)             | 56           | 16.4375     
note_off         | (61)             | 4            | 16.4427     
note_off         | (57)             | 12           | 16.4583     
note_on          | (61)             | 116          | 16.6094     
note_on          | (52)             | 4            | 16.6146     
note_on          | (57)             | 0            | 16.6146     
note_off         | (52)             | 48           | 16.6771     
note_off         | (61)             | 4            | 16.6823     
note_off         | (57)             | 0            | 16.6823     
note_on          | (52)             | 132          | 16.8542     
note_on          | (61)             | 4            | 16.8594     
note_on          | (57)             | 0            | 16.8594     
note_off         | (52)             | 28           | 16.8958     
note_off         | (61)             | 4            | 16.9010     
note_off         | (57)             | 12           | 16.9167     
note_on          | (52)             | 52           | 16.9844     
note_on          | (61)             | 4            | 16.9896     
note_on          | (57)             | 8            | 17.0000     
note_off         | (52)             | 52           | 17.0677     
note_off         | (61)             | 28           | 17.1042     
note_off         | (57)             | 0            | 17.1042     
note_on          | (51)             | 96           | 17.2292     
note_on          | (56)             | 4            | 17.2344     
note_on          | (59)             | 0            | 17.2344     
note_off         | (51)             | 52           | 17.3021     
note_off         | (56)             | 4            | 17.3073     
note_off         | (59)             | 4            | 17.3125     
note_on          | (56)             | 136          | 17.4896     
note_on          | (61)             | 0            | 17.4896     
note_on          | (64)             | 0            | 17.4896     
note_off         | (56)             | 1880         | 19.9375     
note_off         | (61)             | 0            | 19.9375     
note_off         | (64)             | 0            | 19.9375     
note_on          | (61)             | 40           | 19.9896     
note_on          | (52)             | 0            | 19.9896     
note_on          | (57)             | 0            | 19.9896     
note_off         | (61)             | 232          | 20.2917     
note_off         | (52)             | 8            | 20.3021     
note_off         | (57)             | 8            | 20.3125     
note_on          | (52)             | 36           | 20.3594     
note_on          | (61)             | 0            | 20.3594     
note_on          | (57)             | 0            | 20.3594     
note_off         | (52)             | 60           | 20.4375     
note_off         | (61)             | 4            | 20.4427     
note_off         | (57)             | 4            | 20.4479     
note_on          | (57)             | 124          | 20.6094     
note_on          | (52)             | 4            | 20.6146     
note_on          | (61)             | 0            | 20.6146     
note_off         | (52)             | 48           | 20.6771     
note_off         | (57)             | 4            | 20.6823     
note_off         | (61)             | 0            | 20.6823     
note_on          | (52)             | 136          | 20.8594     
note_on          | (61)             | 0            | 20.8594     
note_on          | (57)             | 4            | 20.8646     
note_off         | (52)             | 24           | 20.8958     
note_off         | (61)             | 4            | 20.9010     
note_off         | (57)             | 4            | 20.9062     
note_on          | (52)             | 60           | 20.9844     
note_on          | (61)             | 0            | 20.9844     
note_on          | (57)             | 12           | 21.0000     
note_off         | (52)             | 52           | 21.0677     
note_off         | (57)             | 28           | 21.1042     
note_off         | (61)             | 4            | 21.1094     
note_on          | (51)             | 92           | 21.2292     
note_on          | (56)             | 0            | 21.2292     
note_on          | (59)             | 0            | 21.2292     
note_off         | (51)             | 44           | 21.2865     
note_off         | (56)             | 12           | 21.3021     
